Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Act of Valor,2012,R,24 Feb 2012,110 min,"Action, Adventure, Thriller","Mike McCoy, Scott Waugh",Kurt Johnstad,"Alex Veadov, Roselyn Sanchez, Nestor Serrano",An elite team of Navy SEALs embark on a covert mission to recover a kidnapped CIA agent.,"English, Russian, Filipino, Spanish",United States,1 win & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMTY3NDQxMDAzM15BMl5BanBnXkFtZTcwNzEyNjgzNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.4,"73,025",tt1591479,movie,N/A,"$70,012,847",N/A,N/A,True
Step Up,2006,PG-13,11 Aug 2006,104 min,"Crime, Drama, Music",Anne Fletcher,"Duane Adler, Melissa Rosenberg","Channing Tatum, Jenna Dewan, Damaine Radcliff","Tyler receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",English,United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BYjFmOTU4MjgtNzFkNy00NDZlLThkMDUtNTExNTk1ZjhhZjNhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.5,"130,159",tt0462590,movie,N/A,"$65,328,121",N/A,N/A,True
Beavis and Butt-Head Do America,1996,PG-13,20 Dec 1996,81 min,"Animation, Adventure, Comedy","Geoffrey Johnson, Mike Judge, Mike de Seve","Mike Judge, Joe Stillman, Brian Mulroney","Mike Judge, Bruce Willis, Demi Moore","Our intrepid adolescent heroes wake up to find their beloved television stolen, and embark on an epic journey across America to recover it, and, who knows, maybe even score.",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNzA2NjczNmEtYjYxYi00ZjE2LTkzYTctYzhkZDdmMjlkY2FmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.8,"61,733",tt0115641,movie,N/A,"$63,118,386",N/A,N/A,True
Jackie Brown,1997,R,25 Dec 1997,154 min,"Crime, Drama, Thriller",Quentin Tarantino,"Quentin Tarantino, Elmore Leonard","Pam Grier, Samuel L. Jackson, Robert Forster","A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the illegal arms dealer she works for, she must find a way to secure her future without getting killed.",English,United States,Nominated for 1 Oscar. 9 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BZmUxZjY3MDktNGI5NS00MTQ5LWE0YWItZWQzNmZhNjhkZDYyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.5,"388,697",tt0119396,movie,N/A,"$39,673,162",N/A,N/A,True
Harold,2008,PG-13,11 Jul 2008,90 min,Comedy,T. Sean Shannon,"T. Sean Shannon, Greg Fields","Spencer Breslin, Cuba Gooding Jr., Nikki Blonsky",A teenager with an early onset of male-pattern baldness befriends his high school's janitor.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTA3MjE2OTQzNjleQTJeQWpwZ15BbWU3MDIyMDE3NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '10/100'}]",10,5.4,"1,978",tt1041753,movie,N/A,"$13,229",N/A,N/A,True
Chronicle,2012,PG-13,03 Feb 2012,84 min,"Adventure, Drama, Sci-Fi",Josh Trank,"Max Landis, Josh Trank","Dane DeHaan, Alex Russell, Michael B. Jordan",Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides.,English,United States,2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMDBmYmExZDUtYWQxZS00MWI4LTkyZTQtYzIxNzg3NjJkZjZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.0,"270,125",tt1706593,movie,N/A,"$64,575,175",N/A,N/A,True
Yentl,1983,PG,06 Jan 1984,133 min,"Drama, Musical, Romance",Barbra Streisand,"Jack Rosenthal, Barbra Streisand, Isaac Bashevis Singer","Barbra Streisand, Amy Irving, Mandy Patinkin",A Jewish girl disguises herself as a boy to enter religious training.,"English, Hebrew","United Kingdom, United States",Won 1 Oscar. 6 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BNGZiMGUyZmQtYzE4My00NzFhLWEyYTgtNTBmMDQ4NDBjYmY4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.6,"16,321",tt0086619,movie,N/A,"$40,218,899",N/A,N/A,True
Time Bandits,1981,PG,06 Nov 1981,110 min,"Adventure, Comedy, Fantasy",Terry Gilliam,"Michael Palin, Terry Gilliam","Sean Connery, Shelley Duvall, John Cleese","A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal.",English,United Kingdom,1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNDhjYWRlYjgtOWZmYS00YTAwLWE3YjgtYjZhMzU4YzQ3ODE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,6.9,"70,999",tt0081633,movie,N/A,"$42,365,581",N/A,N/A,True
Crossroads,2002,PG-13,15 Feb 2002,93 min,"Comedy, Drama, Romance",Tamra Davis,Shonda Rhimes,"Britney Spears, Anson Mount, Zoe Saldana","Three childhood friends embark on a cross-country adventure to pursue dreams they once put aside, taking risks that are sure to change their lives forever.",English,United States,2 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BOGYwMjJmMjQtYWMzOS00YmE0LTk0NzItODVmNGYwN2U4NGVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27,3.8,"45,287",tt0275022,movie,N/A,"$37,581,825",N/A,N/A,True
Project X,2012,R,02 Mar 2012,88 min,Comedy,Nima Nourizadeh,"Matt Drake, Michael Bacall","Thomas Mann, Oliver Cooper, Jonathan Daniel Brown","Three high-school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BMTc1MTk0Njg4OF5BMl5BanBnXkFtZTcwODc0ODkyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.7,"245,401",tt1636826,movie,N/A,"$54,731,865",N/A,N/A,True
Patton,1970,PG,02 Apr 1970,172 min,"Biography, Drama, War",Franklin J. Schaffner,"Francis Ford Coppola, Edmund H. North, Ladislas Farago","George C. Scott, Karl Malden, Stephen Young",The World War II phase of the career of controversial American general George S. Patton.,"English, German, French, Russian, Arabic, Italian",United States,Won 7 Oscars. 25 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BYzQwNmI5MDItMGEyZi00Y2FjLTkzMTUtOTliOTIyOWRlN2Q0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.9,"109,720",tt0066206,movie,N/A,"$61,749,765",N/A,N/A,True
One Hour Photo,2002,R,13 Sep 2002,96 min,"Drama, Thriller",Mark Romanek,Mark Romanek,"Robin Williams, Connie Nielsen, Michael Vartan",A mentally unstable photo developer targets an upper middle-class family after his obsession with them becomes more sick and disturbing than any of them could imagine.,English,United States,6 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BNzZhYTZmMjYtNTg0Yy00NDhiLWIwMmItOTU1YmZhYWFiNWEzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.8,"134,447",tt0265459,movie,30 Aug 2005,"$31,597,131",N/A,N/A,True
Quarantine,2008,R,10 Oct 2008,89 min,"Horror, Sci-Fi, Thriller",John Erick Dowdle,"John Erick Dowdle, Drew Dowdle, Jaume Balagueró","Jennifer Carpenter, Steve Harris, Columbus Short","A television reporter and her cameraman are trapped inside a building quarantined by the CDC, after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.",English,"United States, Spain",6 nominations,https://m.media-amazon.com/images/M/MV5BMjY0MDgwNTQ4OF5BMl5BanBnXkFtZTcwMzQzNjY3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.0,"79,140",tt1082868,movie,N/A,"$31,691,811",N/A,N/A,True
The Eye,2008,PG-13,01 Feb 2008,98 min,"Horror, Mystery","David Moreau, Xavier Palud","Sebastian Gutierrez, Yuet-Jan Hui, Oxide Chun Pang","Jessica Alba, Alessandro Nivola, Parker Posey","Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people.","English, Spanish","Canada, United States",2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNzYxZDMxMzktOGMzMS00NjU0LThkYzAtMDI4MzVkZTM1YjgxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.4,"57,304",tt0406759,movie,N/A,"$31,418,697",N/A,N/A,True
Johnson Family Vacation,2004,PG-13,07 Apr 2004,97 min,Comedy,Christopher Erskin,"Todd R. Jones, Earl Richey Jones","Cedric The Entertainer, Shannon Elizabeth, Shad Moss","Buckle up for the wildest road trip of the year. A comedy adventure about a misfit family trying to survive outrageous obstacles, including one another, on a cross-country trek to their annual family reunion.",English,United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ0Njc1MTIyM15BMl5BanBnXkFtZTcwNDMxMjUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '6%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",29,4.5,"8,684",tt0359517,movie,N/A,"$31,203,964",N/A,N/A,True
How High,2001,R,21 Dec 2001,93 min,"Comedy, Fantasy",Jesse Dylan,Dustin Lee Abraham,"Method Man, Redman, Obba Babatundé","Two guys by the name of Silas and Jamal decided to one day smoke something magical, which eventually helps them to ace their college entrance exam.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzFkMDNkMzItZTM4YS00MjAxLWI1OWItMjJjMDI3NTMwNWYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",29,6.2,"62,971",tt0278488,movie,N/A,"$31,178,740",N/A,N/A,True
The Muppet Christmas Carol,1992,G,11 Dec 1992,85 min,"Comedy, Drama, Family",Brian Henson,"Charles Dickens, Jerry Juhl","Michael Caine, Dave Goelz, Steve Whitmire","The Muppets put their spin on the tale of an elder, Christmas-hating miser who is visited by spirits who foretell his future and share secrets from his past and present, which helps change his view on life.",English,"United States, United Kingdom",2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNTIwOTAyMDgtNTY1Zi00ZWMyLWFjMjAtNjI5YWIyOTE2NDJhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.8,"76,368",tt0104940,movie,N/A,"$27,381,507",N/A,N/A,True
Casino Royale,2006,PG-13,17 Nov 2006,144 min,"Action, Adventure, Thriller",Martin Campbell,"Neal Purvis, Robert Wade, Paul Haggis","Daniel Craig, Eva Green, Judi Dench","After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.","English, Serbian, German, Italian, French","United States, United Kingdom, Czech Republic, Germany, Bahamas",Won 1 BAFTA Award28 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BMTM5MjI4NDExNF5BMl5BanBnXkFtZTcwMDM1MjMzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,8.0,"716,457",tt0381061,movie,N/A,"$167,445,960",N/A,N/A,True
Frida,2002,R,22 Nov 2002,123 min,"Biography, Drama, Romance",Julie Taymor,"Hayden Herrera, Clancy Sigal, Diane Lake","Salma Hayek, Alfred Molina, Geoffrey Rush","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.","English, French, Russian",United States,Won 2 Oscars. 17 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BM2ZiNjJkMmMtM2JhMC00OTEyLTkyMjMtYzcxYTU0ZGZkMWU2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.3,"98,566",tt0120679,movie,N/A,"$25,885,000",N/A,N/A,True
Katy Perry: Part of Me,2012,PG,05 Jul 2012,93 min,"Documentary, Biography, Music","Dan Cutforth, Jane Lipsitz",N/A,"Katy Perry, Adam Marcello, Casey Hooper","A look at the life, career and music of singer Katy Perry as we follow her on the California Dreams World Tour.","English, Portuguese",United States,1 win total,https://m.media-amazon.com/images/M/MV5BMjI3MTMzNTU0OF5BMl5BanBnXkFtZTcwOTU4Njc4Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.0,"13,948",tt2215719,movie,N/A,"$25,326,071",N/A,N/A,True
The Fault in Our Stars,2014,PG-13,06 Jun 2014,126 min,"Drama, Romance",Josh Boone,"Scott Neustadter, Michael H. Weber, John Green","Shailene Woodley, Ansel Elgort, Nat Wolff","Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amst...",English,United States,23 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BYTA4ODg5YWUtYmZiYy00Y2M4LWE0NjEtODE5MzhkYmJmZGEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.6,"414,922",tt2582846,movie,N/A,"$124,872,350",N/A,N/A,True
Rounders,1998,R,11 Sep 1998,121 min,"Crime, Drama",John Dahl,"David Levien, Brian Koppelman","Matt Damon, Edward Norton, Gretchen Mol","A young, reformed gambler must return to playing high stakes poker to help a friend pay off loan sharks, while balancing his relationship with his girlfriend and his commitments to law school.","English, Hebrew, Russian",United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMWQ1NTVjZjYtNzlhYi00YmQ2LWFhM2EtMWY4MGE3NzVmZGQzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,7.3,"162,436",tt0128442,movie,N/A,"$22,912,409",N/A,N/A,True
Top Five,2014,R,12 Dec 2014,102 min,"Comedy, Romance",Chris Rock,Chris Rock,"Chris Rock, Rosario Dawson, Gabrielle Union",A comedian tries to make it as a serious actor when his reality television star fiancée talks him into broadcasting their wedding on her television show.,English,United States,5 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BMjIzNTg4ODM3OV5BMl5BanBnXkFtZTgwMTk0MjkxMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,6.4,"28,035",tt2784678,movie,N/A,"$25,317,471",N/A,N/A,True
Dune: Prophecy,2024–,TV-MA,17 Nov 2024,N/A,"Action, Adventure, Drama",N/A,"Diane Ademu-John, Alison Schapker","Emily Watson, Olivia Williams, Chloe Lea",Two Harkonnen sisters combat forces that threaten the future of humankind and establish the fabled sect that will become known as the Bene Gesserit.,English,"United States, Canada, Hungary",2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BOTc2YTFiOTItZmRiNi00OWE5LThhOTEtMmZhMTkzYmRiNjIxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"55,190",tt10466872,series,1,True,,,
Stir of Echoes,1999,R,10 Sep 1999,99 min,"Horror, Mystery, Thriller",David Koepp,"Richard Matheson, David Koepp","Kevin Bacon, Zachary David Cope, Kathryn Erbe",A man has visions of a missing neighborhood girl.,"English, Spanish, Korean",United States,3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BY2FkMzA3MzQtMjQ1Mi00NjI1LTlhNTYtNjQ3ODEwOWY1MDUxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.9,"89,780",tt0164181,movie,N/A,"$21,142,914",N/A,N/A,True
AfterBuzz TV's Spartacus: War of the Damned After Show,2013,N/A,17 Mar 2013,52 min,Talk-Show,N/A,N/A,"Sean A. Overman, Spicy Mari, Campbell Cooley",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTI3NDg3MWQtYmI3YS00NzI4LWEwNjgtMjkxYjhmZjNlNGQyXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9125038,series,N/A,True,,,
Philomena,2013,PG-13,27 Nov 2013,98 min,"Biography, Comedy, Drama",Stephen Frears,"Steve Coogan, Jeff Pope, Martin Sixsmith","Judi Dench, Steve Coogan, Sophie Kennedy Clark","A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",English,"United Kingdom, France, United States",Nominated for 4 Oscars. 33 wins & 86 nominations total,https://m.media-amazon.com/images/M/MV5BMjA5ODgyNzcxMV5BMl5BanBnXkFtZTgwMzkzOTYzMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.6,"105,621",tt2431286,movie,N/A,"$37,709,979",N/A,N/A,True
The Upside of Anger,2005,R,01 Apr 2005,118 min,"Comedy, Drama",Mike Binder,Mike Binder,"Joan Allen, Kevin Costner, Erika Christensen","When her husband unexpectedly disappears, a sharp-witted suburban wife and her daughters juggle their mom's romantic dilemmas and family dynamics.",English,"United States, Germany, United Kingdom",5 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMTIyODM2MzUzM15BMl5BanBnXkFtZTcwMDQ4MzgyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.8,"23,549",tt0365885,movie,N/A,"$18,761,993",N/A,N/A,True
The Boys from Brazil,1978,R,06 Oct 1978,125 min,"Drama, Mystery, Sci-Fi",Franklin J. Schaffner,"Ira Levin, Heywood Gould","Gregory Peck, Laurence Olivier, James Mason",A Nazi hunter in Paraguay discovers a sinister and bizarre plot to rekindle the Third Reich.,"English, Spanish","United Kingdom, United States",Nominated for 3 Oscars. 2 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMjI4ZTFjZGMtNjUyOS00Y2FiLTkwNWMtZGViNjgzODQ0NzIwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,7.0,"32,238",tt0077269,movie,N/A,N/A,N/A,N/A,True
Aquamarine,2006,PG,03 Mar 2006,110 min,"Comedy, Family, Fantasy",Elizabeth Allen Rosenbaum,"John Quaintance, Jessica Bendinger, Alice Hoffman","Emma Roberts, JoJo, Sara Paxton",Two teenage girls discover a mermaid in their beach club's swimming pool.,English,United States,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BZDA1ZWVjOTEtYjZjNC00MTEyLTkzMWUtOGZlZWY1NmY2NGU3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,5.4,"46,140",tt0429591,movie,N/A,"$18,597,342",N/A,N/A,True
Paper Towns,2015,PG-13,24 Jul 2015,109 min,"Adventure, Comedy, Drama",Jake Schreier,"Scott Neustadter, Michael H. Weber, John Green","Nat Wolff, Cara Delevingne, Austin Abrams","After an all-night adventure, Quentin's lifelong crush, Margo, disappears, leaving behind clues that Quentin and his friends follow on the journey of a lifetime.",English,United States,4 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMjE2ODQxODMwOF5BMl5BanBnXkFtZTgwNDY5NjY3NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.2,"109,858",tt3622592,movie,N/A,"$32,000,304",N/A,N/A,True
My Baby's Daddy,2004,PG-13,09 Jan 2004,86 min,Comedy,Cheryl Dunye,"Eddie Griffin, Coke Daniels, Brent Goldberg","Eddie Griffin, Anthony Anderson, Michael Imperioli","A trio of young men (Griffin, Anderson, and Imperioli) are forced to grow up quick when their girlfriends all become pregnant around the same time.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTQxOTIyMzQ1OF5BMl5BanBnXkFtZTcwMzQ0NTQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '6%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",23,4.5,"3,953",tt0332712,movie,N/A,"$17,669,317",N/A,N/A,True
Nebraska,2013,R,24 Jan 2014,115 min,Drama,Alexander Payne,Bob Nelson,"Bruce Dern, Will Forte, June Squibb","An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.","English, Spanish",United States,Nominated for 6 Oscars. 29 wins & 170 nominations total,https://m.media-amazon.com/images/M/MV5BYTgyNzRhMTQtZWUxZi00YzFmLTlhYTItNzY5ZDY2ZjdlYjM1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.7,"126,214",tt1821549,movie,N/A,"$17,654,912",N/A,N/A,True
Tales from the Crypt: Demon Knight,1995,R,13 Jan 1995,92 min,"Action, Fantasy, Horror",Ernest R. Dickerson,"Ethan Reiff, Cyrus Voris, Mark Bishop","Billy Zane, William Sadler, Jada Pinkett Smith",High-level demons collect low-level demons as warriors in attempt to obtain a key containing the blood of Christ. The key is guarded by immortal warriors called Demon Knights.,English,United States,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNjY0ZGJkYjYtOTI4Ni00MzJiLTg2OWItMmJmNWMxODIzOTM5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.7,"27,008",tt0114608,movie,N/A,"$21,089,146",N/A,N/A,True
Max Keeble's Big Move,2001,PG,05 Oct 2001,86 min,"Action, Comedy, Crime",Tim Hill,"David L. Watts, Jonathan Bernstein, Mark Blackwell","Alex D. Linz, Larry Miller, Jamie Kennedy","Max Keeble, the victim of his 7th grade class, plots revenge when he learns that he's moving, but it backfires when he isn't after all.",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYmU1NzJlMzctNzczYS00NTUzLTk0NDQtY2ZjNTAxNWVhMTEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.4,"8,956",tt0273799,movie,N/A,"$17,294,293",N/A,N/A,True
Young Adult,2011,R,16 Dec 2011,94 min,"Comedy, Drama",Jason Reitman,Diablo Cody,"Charlize Theron, Patrick Wilson, Patton Oswalt","Soon after her divorce, a fiction writer returns to her home in small-town Minnesota, looking to rekindle a romance with her ex-boyfriend who is now happily married and has a newborn daughter.",English,United States,3 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BMTc4NzgyMjQwMV5BMl5BanBnXkFtZTcwNjMxODcwNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.3,"89,219",tt1625346,movie,N/A,"$16,311,571",N/A,N/A,True
Crank,2006,R,01 Sep 2006,88 min,"Action, Crime, Thriller","Mark Neveldine, Brian Taylor","Mark Neveldine, Brian Taylor","Jason Statham, Amy Smart, Carlos Sanz",Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.,"English, Spanish, Korean",United States,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMjg0NjAxNDY4MV5BMl5BanBnXkFtZTcwODA5MjMzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.9,"271,192",tt0479884,movie,N/A,"$27,838,408",N/A,N/A,True
